Fecha,Hora,Pasos
2026.09.12 01:52:00,01:52:00,25
2026.09.12 02:33:00,02:33:00,10
2026.09.12 02:34:00,02:34:00,10
2026.09.12 02:35:00,02:35:00,10
2026.09.12 02:36:00,02:36:00,10
2026.09.12 02:37:00,02:37:00,9
2026.09.12 10:27:00,10:27:00,24
2026.09.12 10:28:00,10:28:00,4
2026.09.12 10:29:00,10:29:00,15
2026.09.12 10:58:00,10:58:00,17
2026.09.12 10:59:00,10:59:00,13
2026.09.12 11:08:00,11:08:00,26
2026.09.12 11:15:00,11:15:00,6
2026.09.12 11:21:00,11:21:00,11
2026.09.12 11:55:00,11:55:00,41
2026.09.12 11:56:00,11:56:00,93
2026.09.12 11:57:00,11:57:00,3
2026.09.12 11:58:00,11:58:00,33
2026.09.12 11:59:00,11:59:00,37
2026.09.12 12:00:00,12:00:00,29
2026.09.12 12:01:00,12:01:00,28
2026.09.12 12:24:00,12:24:00,9
2026.09.12 12:29:00,12:29:00,21
2026.09.12 12:30:00,12:30:00,28
2026.09.12 12:31:00,12:31:00,17
2026.09.12 12:32:00,12:32:00,45
2026.09.12 12:34:00,12:34:00,12
2026.09.12 12:38:00,12:38:00,45
2026.09.12 12:42:00,12:42:00,3
2026.09.12 12:45:00,12:45:00,36
2026.09.12 12:49:00,12:49:00,6
2026.09.12 12:54:00,12:54:00,20
2026.09.12 12:58:00,12:58:00,12
2026.09.12 13:00:00,13:00:00,18
2026.09.12 13:01:00,13:01:00,50
2026.09.12 13:43:00,13:43:00,6
2026.09.12 13:49:00,13:49:00,3
2026.09.12 13:50:00,13:50:00,17
2026.09.12 13:55:00,13:55:00,22
2026.09.12 13:58:00,13:58:00,20
2026.09.12 13:59:00,13:59:00,33
2026.09.12 14:00:00,14:00:00,38
2026.09.12 14:01:00,14:01:00,16
2026.09.12 14:04:00,14:04:00,10
2026.09.12 14:37:00,14:37:00,20
2026.09.12 15:51:00,15:51:00,10
2026.09.12 15:52:00,15:52:00,21
2026.09.12 16:00:00,16:00:00,17
2026.09.12 16:02:00,16:02:00,11
2026.09.12 16:03:00,16:03:00,24
2026.09.12 16:04:00,16:04:00,21
2026.09.12 16:05:00,16:05:00,10
2026.09.12 16:31:00,16:31:00,22
2026.09.12 16:32:00,16:32:00,40
2026.09.12 16:33:00,16:33:00,113
2026.09.12 16:34:00,16:34:00,62
2026.09.12 16:35:00,16:35:00,21
2026.09.12 16:41:00,16:41:00,12
2026.09.12 16:42:00,16:42:00,2
2026.09.12 16:44:00,16:44:00,28
2026.09.12 16:45:00,16:45:00,8
2026.09.12 16:47:00,16:47:00,13
2026.09.12 16:48:00,16:48:00,9
2026.09.12 16:50:00,16:50:00,7
2026.09.12 16:51:00,16:51:00,24
2026.09.12 16:52:00,16:52:00,31
2026.09.12 17:04:00,17:04:00,10
2026.09.12 17:38:00,17:38:00,4
2026.09.12 17:39:00,17:39:00,3
2026.09.12 17:40:00,17:40:00,3
2026.09.12 17:41:00,17:41:00,3
2026.09.12 17:42:00,17:42:00,3
2026.09.12 17:43:00,17:43:00,3
2026.09.12 18:48:00,18:48:00,24
2026.09.12 18:49:00,18:49:00,101
2026.09.12 18:50:00,18:50:00,23
2026.09.12 18:51:00,18:51:00,102
2026.09.12 18:52:00,18:52:00,20
2026.09.12 18:53:00,18:53:00,47
2026.09.12 18:54:00,18:54:00,7
2026.09.12 18:55:00,18:55:00,20
2026.09.12 18:56:00,18:56:00,36
2026.09.12 18:57:00,18:57:00,70
2026.09.12 18:58:00,18:58:00,23
2026.09.12 20:08:00,20:08:00,55
2026.09.12 20:09:00,20:09:00,54
2026.09.12 20:10:00,20:10:00,54
2026.09.12 20:11:00,20:11:00,31
2026.09.12 20:13:00,20:13:00,8
2026.09.12 20:26:00,20:26:00,9
2026.09.12 20:27:00,20:27:00,9
2026.09.12 20:28:00,20:28:00,7
2026.09.12 21:34:00,21:34:00,16
