Fecha,Hora,Pasos
2026.08.31 00:45:00,00:45:00,5
2026.08.31 07:12:00,07:12:00,32
2026.08.31 07:13:00,07:13:00,24
2026.08.31 07:14:00,07:14:00,24
2026.08.31 07:15:00,07:15:00,7
2026.08.31 07:22:00,07:22:00,18
2026.08.31 07:23:00,07:23:00,1
2026.08.31 07:40:00,07:40:00,61
2026.08.31 07:41:00,07:41:00,61
2026.08.31 07:42:00,07:42:00,60
2026.08.31 07:43:00,07:43:00,11
2026.08.31 07:44:00,07:44:00,60
2026.08.31 07:45:00,07:45:00,11
2026.08.31 07:46:00,07:46:00,60
2026.08.31 07:47:00,07:47:00,60
2026.08.31 07:48:00,07:48:00,144
2026.08.31 07:49:00,07:49:00,89
2026.08.31 07:50:00,07:50:00,38
2026.08.31 07:51:00,07:51:00,38
2026.08.31 07:52:00,07:52:00,38
2026.08.31 07:53:00,07:53:00,37
2026.08.31 07:54:00,07:54:00,37
2026.08.31 07:55:00,07:55:00,37
2026.08.31 07:56:00,07:56:00,37
2026.08.31 07:57:00,07:57:00,37
2026.08.31 07:58:00,07:58:00,56
2026.08.31 07:59:00,07:59:00,131
2026.08.31 08:00:00,08:00:00,129
2026.08.31 08:01:00,08:01:00,43
2026.08.31 08:19:00,08:19:00,9
2026.08.31 08:57:00,08:57:00,87
2026.08.31 08:58:00,08:58:00,73
2026.08.31 08:59:00,08:59:00,120
2026.08.31 09:00:00,09:00:00,118
2026.08.31 09:01:00,09:01:00,89
2026.08.31 09:02:00,09:02:00,127
2026.08.31 09:03:00,09:03:00,123
2026.08.31 09:04:00,09:04:00,34
2026.08.31 09:05:00,09:05:00,84
2026.08.31 09:06:00,09:06:00,112
2026.08.31 09:07:00,09:07:00,110
2026.08.31 09:08:00,09:08:00,97
2026.08.31 09:09:00,09:09:00,73
2026.08.31 09:10:00,09:10:00,91
2026.08.31 09:11:00,09:11:00,98
2026.08.31 09:12:00,09:12:00,3
2026.08.31 10:38:00,10:38:00,8
2026.08.31 11:11:00,11:11:00,25
2026.08.31 11:12:00,11:12:00,29
2026.08.31 11:15:00,11:15:00,89
2026.08.31 11:16:00,11:16:00,88
2026.08.31 11:17:00,11:17:00,88
2026.08.31 11:18:00,11:18:00,46
2026.08.31 11:19:00,11:19:00,110
2026.08.31 11:20:00,11:20:00,116
2026.08.31 11:21:00,11:21:00,68
2026.08.31 11:22:00,11:22:00,131
2026.08.31 11:23:00,11:23:00,134
2026.08.31 11:24:00,11:24:00,102
2026.08.31 11:25:00,11:25:00,125
2026.08.31 11:26:00,11:26:00,114
2026.08.31 11:27:00,11:27:00,121
2026.08.31 11:28:00,11:28:00,132
2026.08.31 11:29:00,11:29:00,57
2026.08.31 11:30:00,11:30:00,67
2026.08.31 11:31:00,11:31:00,66
2026.08.31 12:04:00,12:04:00,120
2026.08.31 12:05:00,12:05:00,110
2026.08.31 12:06:00,12:06:00,118
2026.08.31 12:07:00,12:07:00,120
2026.08.31 12:08:00,12:08:00,32
2026.08.31 12:09:00,12:09:00,26
2026.08.31 12:15:00,12:15:00,70
2026.08.31 12:16:00,12:16:00,69
2026.08.31 12:17:00,12:17:00,38
2026.08.31 12:18:00,12:18:00,67
2026.08.31 12:19:00,12:19:00,107
2026.08.31 12:20:00,12:20:00,114
2026.08.31 12:21:00,12:21:00,7
2026.08.31 12:22:00,12:22:00,11
2026.08.31 12:32:00,12:32:00,17
2026.08.31 13:40:00,13:40:00,9
2026.08.31 13:41:00,13:41:00,8
2026.08.31 13:42:00,13:42:00,8
2026.08.31 13:51:00,13:51:00,12
2026.08.31 13:52:00,13:52:00,12
2026.08.31 13:53:00,13:53:00,12
2026.08.31 13:54:00,13:54:00,11
2026.08.31 13:55:00,13:55:00,9
2026.08.31 13:56:00,13:56:00,11
2026.08.31 13:57:00,13:57:00,11
2026.08.31 13:58:00,13:58:00,11
2026.08.31 13:59:00,13:59:00,11
2026.08.31 14:11:00,14:11:00,16
2026.08.31 14:31:00,14:31:00,20
2026.08.31 18:28:00,18:28:00,59
2026.08.31 18:29:00,18:29:00,58
2026.08.31 18:30:00,18:30:00,58
2026.08.31 18:31:00,18:31:00,56
2026.08.31 18:32:00,18:32:00,55
2026.08.31 18:33:00,18:33:00,70
2026.08.31 18:34:00,18:34:00,27
2026.08.31 18:35:00,18:35:00,39
2026.08.31 18:36:00,18:36:00,58
2026.08.31 18:37:00,18:37:00,26
2026.08.31 18:38:00,18:38:00,107
2026.08.31 18:40:00,18:40:00,28
2026.08.31 18:41:00,18:41:00,6
2026.08.31 18:42:00,18:42:00,78
2026.08.31 18:43:00,18:43:00,74
2026.08.31 18:44:00,18:44:00,41
2026.08.31 18:45:00,18:45:00,44
2026.08.31 18:46:00,18:46:00,81
2026.08.31 18:47:00,18:47:00,66
2026.08.31 18:48:00,18:48:00,27
2026.08.31 18:49:00,18:49:00,89
2026.08.31 18:51:00,18:51:00,9
2026.08.31 18:52:00,18:52:00,9
2026.08.31 18:53:00,18:53:00,9
2026.08.31 18:54:00,18:54:00,9
2026.08.31 19:12:00,19:12:00,20
2026.08.31 19:21:00,19:21:00,11
2026.08.31 19:22:00,19:22:00,29
2026.08.31 19:40:00,19:40:00,45
2026.08.31 19:48:00,19:48:00,52
2026.08.31 19:49:00,19:49:00,122
2026.08.31 19:50:00,19:50:00,92
2026.08.31 19:51:00,19:51:00,80
2026.08.31 19:52:00,19:52:00,94
2026.08.31 19:53:00,19:53:00,32
2026.08.31 19:54:00,19:54:00,88
2026.08.31 19:55:00,19:55:00,55
2026.08.31 19:56:00,19:56:00,71
2026.08.31 19:57:00,19:57:00,57
2026.08.31 19:58:00,19:58:00,54
2026.08.31 19:59:00,19:59:00,97
2026.08.31 20:00:00,20:00:00,59
2026.08.31 20:02:00,20:02:00,43
2026.08.31 20:03:00,20:03:00,13
2026.08.31 20:04:00,20:04:00,63
2026.08.31 20:05:00,20:05:00,65
2026.08.31 20:06:00,20:06:00,48
2026.08.31 20:07:00,20:07:00,46
2026.08.31 20:08:00,20:08:00,44
2026.08.31 20:09:00,20:09:00,74
2026.08.31 20:10:00,20:10:00,12
2026.08.31 20:11:00,20:11:00,48
2026.08.31 20:12:00,20:12:00,94
2026.08.31 20:13:00,20:13:00,38
2026.08.31 20:14:00,20:14:00,1
2026.08.31 20:15:00,20:15:00,100
2026.08.31 20:16:00,20:16:00,52
2026.08.31 20:17:00,20:17:00,55
2026.08.31 20:18:00,20:18:00,5
2026.08.31 20:19:00,20:19:00,15
2026.08.31 20:21:00,20:21:00,36
2026.08.31 20:22:00,20:22:00,57
2026.08.31 20:23:00,20:23:00,15
2026.08.31 20:24:00,20:24:00,11
2026.08.31 20:25:00,20:25:00,85
2026.08.31 20:26:00,20:26:00,14
2026.08.31 20:27:00,20:27:00,49
2026.08.31 20:28:00,20:28:00,38
2026.08.31 20:29:00,20:29:00,25
2026.08.31 20:30:00,20:30:00,25
2026.08.31 20:31:00,20:31:00,25
2026.08.31 20:32:00,20:32:00,16
2026.08.31 20:33:00,20:33:00,32
2026.08.31 20:34:00,20:34:00,25
2026.08.31 20:35:00,20:35:00,25
2026.08.31 20:36:00,20:36:00,68
2026.08.31 20:37:00,20:37:00,25
2026.08.31 20:38:00,20:38:00,34
2026.08.31 20:39:00,20:39:00,39
2026.08.31 20:40:00,20:40:00,11
2026.08.31 21:10:00,21:10:00,11
2026.08.31 22:16:00,22:16:00,44
2026.08.31 22:17:00,22:17:00,33
2026.08.31 22:18:00,22:18:00,26
2026.08.31 22:19:00,22:19:00,20
2026.08.31 22:20:00,22:20:00,14
2026.08.31 22:22:00,22:22:00,14
2026.08.31 22:24:00,22:24:00,8
2026.08.31 22:26:00,22:26:00,13
2026.08.31 22:32:00,22:32:00,24
2026.08.31 22:39:00,22:39:00,3
2026.08.31 23:06:00,23:06:00,14
2026.09.01 00:07:00,00:07:00,6
2026.09.01 07:32:00,07:32:00,27
2026.09.01 07:33:00,07:33:00,19
2026.09.01 07:34:00,07:34:00,24
2026.09.01 07:35:00,07:35:00,41
2026.09.01 07:36:00,07:36:00,7
2026.09.01 07:49:00,07:49:00,16
2026.09.01 07:51:00,07:51:00,8
2026.09.01 07:54:00,07:54:00,14
2026.09.01 07:55:00,07:55:00,5
2026.09.01 07:59:00,07:59:00,13
2026.09.01 08:00:00,08:00:00,32
2026.09.01 08:01:00,08:01:00,32
2026.09.01 08:02:00,08:02:00,32
2026.09.01 08:03:00,08:03:00,32
2026.09.01 08:04:00,08:04:00,4
2026.09.01 08:05:00,08:05:00,6
2026.09.01 08:06:00,08:06:00,32
2026.09.01 08:07:00,08:07:00,31
2026.09.01 08:08:00,08:08:00,31
2026.09.01 08:09:00,08:09:00,31
2026.09.01 08:10:00,08:10:00,37
2026.09.01 08:11:00,08:11:00,112
2026.09.01 08:12:00,08:12:00,54
2026.09.01 08:13:00,08:13:00,37
2026.09.01 08:14:00,08:14:00,36
2026.09.01 08:15:00,08:15:00,36
2026.09.01 08:16:00,08:16:00,36
2026.09.01 08:17:00,08:17:00,36
2026.09.01 08:18:00,08:18:00,36
2026.09.01 08:22:00,08:22:00,58
2026.09.01 08:23:00,08:23:00,127
2026.09.01 08:24:00,08:24:00,132
2026.09.01 08:25:00,08:25:00,34
2026.09.01 09:00:00,09:00:00,85
2026.09.01 09:01:00,09:01:00,85
2026.09.01 09:02:00,09:02:00,85
2026.09.01 09:03:00,09:03:00,27
2026.09.01 09:04:00,09:04:00,77
2026.09.01 09:05:00,09:05:00,96
2026.09.01 09:06:00,09:06:00,83
2026.09.01 09:07:00,09:07:00,91
2026.09.01 09:08:00,09:08:00,115
2026.09.01 09:09:00,09:09:00,123
2026.09.01 09:10:00,09:10:00,107
2026.09.01 09:11:00,09:11:00,120
2026.09.01 09:12:00,09:12:00,119
2026.09.01 09:13:00,09:13:00,113
2026.09.01 09:14:00,09:14:00,104
2026.09.01 09:15:00,09:15:00,57
2026.09.01 09:16:00,09:16:00,66
2026.09.01 09:17:00,09:17:00,66
2026.09.01 09:18:00,09:18:00,52
2026.09.01 10:31:00,10:31:00,7
2026.09.01 10:49:00,10:49:00,33
2026.09.01 10:50:00,10:50:00,33
2026.09.01 10:51:00,10:51:00,33
2026.09.01 10:52:00,10:52:00,29
2026.09.01 10:53:00,10:53:00,41
2026.09.01 10:56:00,10:56:00,15
2026.09.01 10:59:00,10:59:00,87
2026.09.01 11:00:00,11:00:00,66
2026.09.01 11:01:00,11:01:00,99
2026.09.01 11:02:00,11:02:00,54
2026.09.01 11:03:00,11:03:00,20
2026.09.01 11:04:00,11:04:00,60
2026.09.01 11:05:00,11:05:00,113
2026.09.01 11:06:00,11:06:00,73
2026.09.01 11:07:00,11:07:00,67
2026.09.01 11:08:00,11:08:00,102
2026.09.01 11:09:00,11:09:00,130
2026.09.01 11:10:00,11:10:00,122
2026.09.01 11:11:00,11:11:00,115
2026.09.01 11:12:00,11:12:00,121
2026.09.01 11:13:00,11:13:00,111
2026.09.01 11:14:00,11:14:00,2
2026.09.01 11:21:00,11:21:00,8
2026.09.01 11:52:00,11:52:00,125
2026.09.01 11:53:00,11:53:00,101
2026.09.01 11:54:00,11:54:00,106
2026.09.01 11:55:00,11:55:00,56
2026.09.01 11:56:00,11:56:00,6
2026.09.01 12:09:00,12:09:00,41
2026.09.01 12:10:00,12:10:00,41
2026.09.01 12:11:00,12:11:00,40
2026.09.01 12:12:00,12:12:00,40
2026.09.01 12:13:00,12:13:00,40
2026.09.01 12:14:00,12:14:00,40
2026.09.01 12:15:00,12:15:00,40
2026.09.01 12:16:00,12:16:00,14
2026.09.01 12:17:00,12:17:00,75
2026.09.01 12:18:00,12:18:00,92
2026.09.01 12:19:00,12:19:00,98
2026.09.01 12:20:00,12:20:00,73
2026.09.01 12:21:00,12:21:00,15
2026.09.01 12:42:00,12:42:00,43
2026.09.01 12:43:00,12:43:00,42
2026.09.01 12:44:00,12:44:00,36
2026.09.01 12:45:00,12:45:00,50
2026.09.01 12:46:00,12:46:00,12
2026.09.01 13:01:00,13:01:00,36
2026.09.01 13:02:00,13:02:00,59
2026.09.01 13:03:00,13:03:00,11
2026.09.01 13:04:00,13:04:00,39
2026.09.01 13:05:00,13:05:00,11
2026.09.01 19:16:00,19:16:00,38
2026.09.01 19:17:00,19:17:00,38
2026.09.01 19:18:00,19:18:00,27
2026.09.01 19:19:00,19:19:00,38
2026.09.01 19:20:00,19:20:00,21
2026.09.01 19:21:00,19:21:00,12
2026.09.01 19:22:00,19:22:00,58
2026.09.01 19:23:00,19:23:00,32
2026.09.01 19:24:00,19:24:00,36
2026.09.01 19:25:00,19:25:00,75
2026.09.01 19:26:00,19:26:00,44
2026.09.01 19:27:00,19:27:00,73
2026.09.01 19:37:00,19:37:00,34
2026.09.01 20:23:00,20:23:00,8
2026.09.01 23:41:00,23:41:00,9
2026.09.01 23:44:00,23:44:00,20
2026.09.01 23:45:00,23:45:00,8
2026.09.01 23:46:00,23:46:00,17
2026.09.01 23:47:00,23:47:00,14
2026.09.01 23:48:00,23:48:00,31
2026.09.01 23:50:00,23:50:00,36
2026.09.01 23:57:00,23:57:00,17
2026.09.01 23:58:00,23:58:00,38
2026.09.02 00:06:00,00:06:00,34
2026.09.02 00:07:00,00:07:00,22
2026.09.02 09:24:00,09:24:00,3
2026.09.02 09:25:00,09:25:00,3
2026.09.02 09:26:00,09:26:00,3
2026.09.02 09:27:00,09:27:00,2
2026.09.02 09:28:00,09:28:00,2
2026.09.02 09:29:00,09:29:00,2
2026.09.02 09:30:00,09:30:00,2
2026.09.02 09:31:00,09:31:00,2
2026.09.02 09:32:00,09:32:00,2
2026.09.02 09:34:00,09:34:00,24
2026.09.02 09:35:00,09:35:00,30
2026.09.02 09:36:00,09:36:00,6
2026.09.02 09:48:00,09:48:00,41
2026.09.02 09:49:00,09:49:00,51
2026.09.02 09:50:00,09:50:00,56
2026.09.02 09:51:00,09:51:00,46
2026.09.02 10:06:00,10:06:00,4
2026.09.02 10:07:00,10:07:00,3
2026.09.02 10:08:00,10:08:00,3
2026.09.02 10:09:00,10:09:00,3
2026.09.02 10:10:00,10:10:00,3
2026.09.02 10:11:00,10:11:00,3
2026.09.02 10:12:00,10:12:00,3
2026.09.02 10:15:00,10:15:00,65
2026.09.02 10:16:00,10:16:00,51
2026.09.02 10:17:00,10:17:00,42
2026.09.02 10:20:00,10:20:00,27
