Fecha,Hora,Pasos
2026.08.11 07:09:00,07:09:00,26
2026.08.11 07:11:00,07:11:00,40
2026.08.11 07:12:00,07:12:00,40
2026.08.11 07:13:00,07:13:00,26
2026.08.11 07:40:00,07:40:00,18
2026.08.11 07:41:00,07:41:00,28
2026.08.11 07:43:00,07:43:00,14
2026.08.11 07:44:00,07:44:00,13
2026.08.11 07:47:00,07:47:00,23
2026.08.11 07:48:00,07:48:00,10
2026.08.11 07:50:00,07:50:00,49
2026.08.11 07:51:00,07:51:00,24
2026.08.11 07:52:00,07:52:00,8
2026.08.11 07:55:00,07:55:00,18
2026.08.11 07:59:00,07:59:00,133
2026.08.11 08:00:00,08:00:00,137
2026.08.11 08:01:00,08:01:00,47
2026.08.11 08:09:00,08:09:00,92
2026.08.11 08:10:00,08:10:00,129
2026.08.11 08:11:00,08:11:00,110
2026.08.11 08:12:00,08:12:00,26
2026.08.11 09:01:00,09:01:00,127
2026.08.11 09:02:00,09:02:00,108
2026.08.11 09:03:00,09:03:00,116
2026.08.11 09:04:00,09:04:00,115
2026.08.11 09:05:00,09:05:00,131
2026.08.11 09:06:00,09:06:00,121
2026.08.11 09:07:00,09:07:00,120
2026.08.11 09:08:00,09:08:00,20
2026.08.11 09:09:00,09:09:00,132
2026.08.11 09:10:00,09:10:00,128
2026.08.11 09:11:00,09:11:00,121
2026.08.11 09:12:00,09:12:00,67
2026.08.11 09:16:00,09:16:00,21
2026.08.11 09:17:00,09:17:00,1
2026.08.11 09:20:00,09:20:00,6
2026.08.11 10:05:00,10:05:00,18
2026.08.11 10:53:00,10:53:00,24
2026.08.11 10:54:00,10:54:00,61
2026.08.11 10:55:00,10:55:00,59
2026.08.11 10:56:00,10:56:00,4
2026.08.11 11:00:00,11:00:00,26
2026.08.11 11:01:00,11:01:00,55
2026.08.11 11:02:00,11:02:00,99
2026.08.11 11:03:00,11:03:00,121
2026.08.11 11:04:00,11:04:00,129
2026.08.11 11:05:00,11:05:00,106
2026.08.11 11:06:00,11:06:00,26
2026.08.11 11:07:00,11:07:00,97
2026.08.11 11:08:00,11:08:00,102
2026.08.11 11:09:00,11:09:00,125
2026.08.11 11:10:00,11:10:00,140
2026.08.11 11:11:00,11:11:00,120
2026.08.11 11:12:00,11:12:00,114
2026.08.11 11:13:00,11:13:00,82
2026.08.11 11:42:00,11:42:00,47
2026.08.11 11:43:00,11:43:00,138
2026.08.11 11:44:00,11:44:00,86
2026.08.11 11:45:00,11:45:00,17
2026.08.11 11:50:00,11:50:00,123
2026.08.11 11:51:00,11:51:00,80
2026.08.11 11:52:00,11:52:00,114
2026.08.11 11:53:00,11:53:00,85
2026.08.11 11:54:00,11:54:00,13
2026.08.11 11:55:00,11:55:00,32
2026.08.11 11:57:00,11:57:00,17
2026.08.11 12:16:00,12:16:00,118
2026.08.11 12:17:00,12:17:00,145
2026.08.11 12:18:00,12:18:00,117
2026.08.11 12:19:00,12:19:00,123
2026.08.11 12:20:00,12:20:00,124
2026.08.11 12:21:00,12:21:00,92
2026.08.11 12:22:00,12:22:00,81
2026.08.11 12:23:00,12:23:00,74
2026.08.11 12:25:00,12:25:00,83
2026.08.11 12:26:00,12:26:00,20
2026.08.11 13:13:00,13:13:00,36
2026.08.11 13:14:00,13:14:00,12
2026.08.11 13:15:00,13:15:00,48
2026.08.11 13:27:00,13:27:00,8
2026.08.11 13:28:00,13:28:00,103
2026.08.11 13:29:00,13:29:00,54
2026.08.11 13:30:00,13:30:00,90
2026.08.11 13:31:00,13:31:00,109
2026.08.11 13:32:00,13:32:00,93
2026.08.11 13:33:00,13:33:00,111
2026.08.11 13:34:00,13:34:00,117
2026.08.11 13:35:00,13:35:00,117
2026.08.11 13:36:00,13:36:00,104
2026.08.11 13:37:00,13:37:00,111
2026.08.11 13:38:00,13:38:00,96
2026.08.11 13:39:00,13:39:00,25
2026.08.11 13:40:00,13:40:00,29
2026.08.11 16:51:00,16:51:00,10
2026.08.11 16:52:00,16:52:00,10
2026.08.11 16:54:00,16:54:00,21
2026.08.11 18:56:00,18:56:00,60
2026.08.11 18:57:00,18:57:00,44
2026.08.11 18:58:00,18:58:00,8
2026.08.11 18:59:00,18:59:00,77
2026.08.11 19:00:00,19:00:00,62
2026.08.11 19:01:00,19:01:00,55
2026.08.11 19:02:00,19:02:00,61
2026.08.11 19:03:00,19:03:00,33
2026.08.11 19:04:00,19:04:00,63
2026.08.11 19:05:00,19:05:00,23
2026.08.11 19:06:00,19:06:00,103
2026.08.11 19:07:00,19:07:00,18
2026.08.11 19:08:00,19:08:00,5
2026.08.11 19:09:00,19:09:00,30
2026.08.11 19:23:00,19:23:00,6
2026.08.11 21:49:00,21:49:00,45
2026.08.11 21:50:00,21:50:00,8
2026.08.11 21:51:00,21:51:00,28
2026.08.11 21:52:00,21:52:00,13
2026.08.11 22:12:00,22:12:00,32
2026.08.11 22:13:00,22:13:00,81
2026.08.11 22:17:00,22:17:00,9
2026.08.11 22:18:00,22:18:00,4
2026.08.11 22:22:00,22:22:00,56
2026.08.11 22:23:00,22:23:00,58
2026.08.11 22:28:00,22:28:00,23
2026.08.11 22:29:00,22:29:00,21
2026.08.11 22:31:00,22:31:00,14
2026.08.11 22:32:00,22:32:00,69
2026.08.11 23:19:00,23:19:00,18
2026.08.11 23:57:00,23:57:00,36
2026.08.12 00:00:00,00:00:00,7
2026.08.12 08:57:00,08:57:00,14
2026.08.12 08:58:00,08:58:00,35
2026.08.12 08:59:00,08:59:00,37
2026.08.12 09:00:00,09:00:00,15
2026.08.12 09:01:00,09:01:00,49
2026.08.12 09:02:00,09:02:00,30
2026.08.12 09:03:00,09:03:00,26
