Fecha,Hora,Saturación de oxígeno
2026.09.12 00:06:00,00:06:00,96.0
2026.09.12 00:20:00,00:20:00,96.0
2026.09.12 00:36:00,00:36:00,96.0
2026.09.12 00:46:00,00:46:00,96.0
2026.09.12 00:56:00,00:56:00,96.0
2026.09.12 01:46:00,01:46:00,97.0
2026.09.12 03:00:00,03:00:00,96.0
2026.09.12 03:11:00,03:11:00,98.0
2026.09.12 03:21:00,03:21:00,98.0
2026.09.12 03:31:00,03:31:00,97.0
2026.09.12 03:41:00,03:41:00,97.0
2026.09.12 03:51:00,03:51:00,97.0
2026.09.12 04:01:00,04:01:00,97.0
2026.09.12 04:11:00,04:11:00,97.0
2026.09.12 04:21:00,04:21:00,97.0
2026.09.12 04:31:00,04:31:00,97.0
2026.09.12 04:41:00,04:41:00,97.0
2026.09.12 04:51:00,04:51:00,98.0
2026.09.12 05:01:00,05:01:00,98.0
2026.09.12 05:11:00,05:11:00,98.0
2026.09.12 05:21:00,05:21:00,98.0
2026.09.12 05:31:00,05:31:00,98.0
2026.09.12 05:40:00,05:40:00,98.0
2026.09.12 05:50:00,05:50:00,96.0
2026.09.12 06:00:00,06:00:00,97.0
2026.09.12 06:10:00,06:10:00,97.0
2026.09.12 06:20:00,06:20:00,97.0
2026.09.12 06:30:00,06:30:00,97.0
2026.09.12 06:40:00,06:40:00,97.0
2026.09.12 06:50:00,06:50:00,96.0
2026.09.12 07:03:00,07:03:00,96.0
2026.09.12 07:10:00,07:10:00,97.0
2026.09.12 07:20:00,07:20:00,99.0
2026.09.12 07:30:00,07:30:00,98.0
2026.09.12 07:40:00,07:40:00,97.0
2026.09.12 07:50:00,07:50:00,97.0
2026.09.12 08:00:00,08:00:00,97.0
2026.09.12 08:10:00,08:10:00,97.0
2026.09.12 08:20:00,08:20:00,98.0
2026.09.12 08:30:00,08:30:00,98.0
2026.09.12 08:40:00,08:40:00,97.0
2026.09.12 08:50:00,08:50:00,98.0
2026.09.12 09:01:00,09:01:00,98.0
2026.09.12 09:11:00,09:11:00,98.0
2026.09.12 09:21:00,09:21:00,97.0
2026.09.12 09:31:00,09:31:00,97.0
2026.09.12 09:41:00,09:41:00,97.0
2026.09.12 09:51:00,09:51:00,97.0
2026.09.12 10:01:00,10:01:00,97.0
2026.09.12 10:11:00,10:11:00,97.0
2026.09.12 10:20:00,10:20:00,97.0
2026.09.12 10:36:00,10:36:00,97.0
2026.09.12 10:40:00,10:40:00,96.0
2026.09.12 10:50:00,10:50:00,97.0
2026.09.12 11:00:00,11:00:00,97.0
2026.09.12 11:31:00,11:31:00,96.0
2026.09.12 12:16:00,12:16:00,96.0
2026.09.12 14:06:00,14:06:00,96.0
2026.09.12 14:16:00,14:16:00,96.0
2026.09.12 14:30:00,14:30:00,96.0
2026.09.12 14:50:00,14:50:00,96.0
2026.09.12 15:10:00,15:10:00,96.0
2026.09.12 15:22:00,15:22:00,96.0
2026.09.12 15:56:00,15:56:00,96.0
2026.09.12 16:16:00,16:16:00,95.0
2026.09.12 16:26:00,16:26:00,95.0
2026.09.12 16:56:00,16:56:00,96.0
2026.09.12 17:16:00,17:16:00,96.0
2026.09.12 17:26:00,17:26:00,96.0
2026.09.12 17:56:00,17:56:00,96.0
2026.09.12 18:00:00,18:00:00,96.0
2026.09.12 18:20:00,18:20:00,95.0
2026.09.12 18:56:00,18:56:00,96.0
2026.09.12 19:16:00,19:16:00,96.0
2026.09.12 20:01:00,20:01:00,96.0
2026.09.12 20:26:00,20:26:00,93.0
2026.09.12 20:36:00,20:36:00,97.0
2026.09.12 20:46:00,20:46:00,95.0
2026.09.12 20:56:00,20:56:00,92.0
2026.09.12 21:06:00,21:06:00,95.0
2026.09.12 21:16:00,21:16:00,95.0
2026.09.12 21:36:00,21:36:00,96.0
2026.09.12 22:36:00,22:36:00,97.0
2026.09.12 23:06:00,23:06:00,96.0
2026.09.12 23:46:00,23:46:00,96.0
2026.09.12 23:56:00,23:56:00,95.0
