Fecha,Hora,Saturación de oxígeno
2026.08.31 00:20:00,00:20:00,96.0
2026.08.31 00:50:00,00:50:00,96.0
2026.08.31 01:00:00,01:00:00,96.0
2026.08.31 01:10:00,01:10:00,96.0
2026.08.31 01:33:00,01:33:00,96.0
2026.08.31 01:41:00,01:41:00,96.0
2026.08.31 01:51:00,01:51:00,96.0
2026.08.31 02:01:00,02:01:00,96.0
2026.08.31 02:11:00,02:11:00,96.0
2026.08.31 02:21:00,02:21:00,96.0
2026.08.31 02:31:00,02:31:00,97.0
2026.08.31 02:41:00,02:41:00,96.0
2026.08.31 02:51:00,02:51:00,97.0
2026.08.31 03:01:00,03:01:00,97.0
2026.08.31 03:11:00,03:11:00,97.0
2026.08.31 03:21:00,03:21:00,97.0
2026.08.31 03:31:00,03:31:00,98.0
2026.08.31 03:41:00,03:41:00,97.0
2026.08.31 03:51:00,03:51:00,97.0
2026.08.31 04:01:00,04:01:00,97.0
2026.08.31 04:11:00,04:11:00,97.0
2026.08.31 04:21:00,04:21:00,98.0
2026.08.31 04:31:00,04:31:00,98.0
2026.08.31 04:41:00,04:41:00,97.0
2026.08.31 04:56:00,04:56:00,98.0
2026.08.31 05:01:00,05:01:00,98.0
2026.08.31 05:11:00,05:11:00,98.0
2026.08.31 05:21:00,05:21:00,96.0
2026.08.31 05:30:00,05:30:00,96.0
2026.08.31 05:40:00,05:40:00,97.0
2026.08.31 05:50:00,05:50:00,96.0
2026.08.31 06:00:00,06:00:00,97.0
2026.08.31 06:10:00,06:10:00,97.0
2026.08.31 06:20:00,06:20:00,97.0
2026.08.31 06:30:00,06:30:00,97.0
2026.08.31 06:40:00,06:40:00,97.0
2026.08.31 06:50:00,06:50:00,97.0
2026.08.31 07:01:00,07:01:00,97.0
2026.08.31 07:10:00,07:10:00,96.0
2026.08.31 08:26:00,08:26:00,96.0
2026.08.31 09:26:00,09:26:00,96.0
2026.08.31 09:36:00,09:36:00,96.0
2026.08.31 09:46:00,09:46:00,96.0
2026.08.31 09:56:00,09:56:00,95.0
2026.08.31 10:06:00,10:06:00,96.0
2026.08.31 10:16:00,10:16:00,96.0
2026.08.31 10:26:00,10:26:00,95.0
2026.08.31 10:56:00,10:56:00,95.0
2026.08.31 11:36:00,11:36:00,96.0
2026.08.31 11:56:00,11:56:00,93.0
2026.08.31 12:16:00,12:16:00,96.0
2026.08.31 12:26:00,12:26:00,96.0
2026.08.31 12:36:00,12:36:00,96.0
2026.08.31 12:46:00,12:46:00,95.0
2026.08.31 12:56:00,12:56:00,96.0
2026.08.31 13:06:00,13:06:00,96.0
2026.08.31 13:16:00,13:16:00,96.0
2026.08.31 13:26:00,13:26:00,96.0
2026.08.31 13:36:00,13:36:00,96.0
2026.08.31 13:46:00,13:46:00,96.0
2026.08.31 14:23:00,14:23:00,95.0
2026.08.31 14:50:00,14:50:00,95.0
2026.08.31 15:40:00,15:40:00,96.0
2026.08.31 15:56:00,15:56:00,97.0
2026.08.31 16:30:00,16:30:00,97.0
2026.08.31 17:11:00,17:11:00,96.0
2026.08.31 17:21:00,17:21:00,96.0
2026.08.31 17:31:00,17:31:00,97.0
2026.08.31 17:43:00,17:43:00,97.0
2026.08.31 17:50:00,17:50:00,97.0
2026.08.31 18:01:00,18:01:00,97.0
2026.08.31 18:11:00,18:11:00,97.0
2026.08.31 18:20:00,18:20:00,98.0
2026.08.31 18:56:00,18:56:00,96.0
2026.08.31 19:36:00,19:36:00,95.0
2026.08.31 19:56:00,19:56:00,96.0
2026.08.31 21:16:00,21:16:00,96.0
2026.08.31 21:46:00,21:46:00,96.0
2026.08.31 22:06:00,22:06:00,96.0
2026.08.31 22:56:00,22:56:00,95.0
2026.08.31 23:16:00,23:16:00,96.0
2026.08.31 23:26:00,23:26:00,96.0
