Fecha,Hora,Saturación de oxígeno
2026.08.10 23:06:00,23:06:00,96.0
2026.08.10 23:24:00,23:24:00,97.0
2026.08.10 23:36:00,23:36:00,96.0
2026.08.10 23:40:00,23:40:00,98.0
2026.08.11 00:02:00,00:02:00,96.0
2026.08.11 00:27:00,00:27:00,97.0
2026.08.11 00:31:00,00:31:00,98.0
2026.08.11 01:01:00,01:01:00,96.0
2026.08.11 01:11:00,01:11:00,97.0
2026.08.11 01:21:00,01:21:00,96.0
2026.08.11 01:31:00,01:31:00,97.0
2026.08.11 01:41:00,01:41:00,98.0
2026.08.11 01:51:00,01:51:00,96.0
2026.08.11 02:01:00,02:01:00,97.0
2026.08.11 02:11:00,02:11:00,96.0
2026.08.11 02:21:00,02:21:00,98.0
2026.08.11 02:31:00,02:31:00,97.0
2026.08.11 02:47:00,02:47:00,99.0
2026.08.11 02:51:00,02:51:00,98.0
2026.08.11 03:01:00,03:01:00,97.0
2026.08.11 03:11:00,03:11:00,97.0
2026.08.11 03:21:00,03:21:00,98.0
2026.08.11 03:31:00,03:31:00,99.0
2026.08.11 03:41:00,03:41:00,98.0
2026.08.11 03:51:00,03:51:00,97.0
2026.08.11 04:01:00,04:01:00,97.0
2026.08.11 04:10:00,04:10:00,97.0
2026.08.11 04:20:00,04:20:00,97.0
2026.08.11 04:30:00,04:30:00,97.0
2026.08.11 04:40:00,04:40:00,98.0
2026.08.11 04:50:00,04:50:00,97.0
2026.08.11 05:00:00,05:00:00,98.0
2026.08.11 05:10:00,05:10:00,98.0
2026.08.11 05:20:00,05:20:00,98.0
2026.08.11 05:30:00,05:30:00,97.0
2026.08.11 05:40:00,05:40:00,96.0
2026.08.11 05:50:00,05:50:00,96.0
2026.08.11 06:00:00,06:00:00,96.0
2026.08.11 06:10:00,06:10:00,96.0
2026.08.11 06:20:00,06:20:00,99.0
2026.08.11 06:30:00,06:30:00,96.0
2026.08.11 06:40:00,06:40:00,97.0
2026.08.11 06:50:00,06:50:00,95.0
2026.08.11 07:03:00,07:03:00,94.0
2026.08.11 10:06:00,10:06:00,96.0
2026.08.11 10:26:00,10:26:00,96.0
2026.08.11 10:36:00,10:36:00,96.0
2026.08.11 10:46:00,10:46:00,97.0
2026.08.11 11:46:00,11:46:00,96.0
2026.08.11 12:06:00,12:06:00,96.0
2026.08.11 12:46:00,12:46:00,96.0
2026.08.11 13:26:00,13:26:00,96.0
2026.08.11 14:21:00,14:21:00,96.0
2026.08.11 14:31:00,14:31:00,96.0
2026.08.11 14:41:00,14:41:00,96.0
2026.08.11 15:01:00,15:01:00,97.0
2026.08.11 15:11:00,15:11:00,96.0
2026.08.11 15:21:00,15:21:00,97.0
2026.08.11 15:35:00,15:35:00,96.0
2026.08.11 15:40:00,15:40:00,97.0
2026.08.11 15:50:00,15:50:00,96.0
2026.08.11 16:00:00,16:00:00,96.0
2026.08.11 16:11:00,16:11:00,96.0
2026.08.11 16:21:00,16:21:00,97.0
2026.08.11 16:30:00,16:30:00,96.0
2026.08.11 16:40:00,16:40:00,97.0
2026.08.11 16:50:00,16:50:00,96.0
2026.08.11 17:10:00,17:10:00,96.0
2026.08.11 17:46:00,17:46:00,96.0
2026.08.11 19:16:00,19:16:00,96.0
2026.08.11 19:22:00,19:22:00,94.0
2026.08.11 19:33:00,19:33:00,94.0
2026.08.11 19:54:00,19:54:00,96.0
2026.08.11 20:16:00,20:16:00,96.0
2026.08.11 20:20:00,20:20:00,96.0
2026.08.11 20:46:00,20:46:00,97.0
2026.08.11 21:16:00,21:16:00,96.0
2026.08.11 22:16:00,22:16:00,95.0
2026.08.11 22:26:00,22:26:00,95.0
2026.08.11 23:06:00,23:06:00,96.0
2026.08.11 23:46:00,23:46:00,96.0
2026.08.12 00:26:00,00:26:00,95.0
2026.08.12 00:40:00,00:40:00,96.0
2026.08.12 01:31:00,01:31:00,96.0
2026.08.12 01:41:00,01:41:00,98.0
2026.08.12 01:51:00,01:51:00,96.0
2026.08.12 02:01:00,02:01:00,97.0
2026.08.12 02:11:00,02:11:00,97.0
2026.08.12 02:21:00,02:21:00,96.0
2026.08.12 02:31:00,02:31:00,96.0
2026.08.12 02:41:00,02:41:00,97.0
