Fecha,Hora,Duración en segundos,Etapa del sueño
2026.09.10 23:01:00,23:01:00,420,awake
2026.09.10 23:08:00,23:08:00,660,light
2026.09.10 23:19:00,23:19:00,1140,deep
2026.09.10 23:38:00,23:38:00,720,light
2026.09.10 23:50:00,23:50:00,1320,deep
2026.09.11 00:12:00,00:12:00,780,rem
2026.09.11 00:25:00,00:25:00,2820,deep
2026.09.11 01:12:00,01:12:00,720,rem
2026.09.11 01:24:00,01:24:00,1560,light
2026.09.11 01:50:00,01:50:00,600,deep
2026.09.11 02:00:00,02:00:00,2340,rem
2026.09.11 02:39:00,02:39:00,1380,light
2026.09.11 03:02:00,03:02:00,1560,deep
2026.09.11 03:28:00,03:28:00,600,light
2026.09.11 03:38:00,03:38:00,660,deep
2026.09.11 03:49:00,03:49:00,840,rem
2026.09.11 04:03:00,04:03:00,360,deep
2026.09.11 04:09:00,04:09:00,1680,light
2026.09.11 04:37:00,04:37:00,660,awake
2026.09.11 04:48:00,04:48:00,480,light
2026.09.11 04:56:00,04:56:00,720,deep
2026.09.11 05:08:00,05:08:00,1500,rem
2026.09.11 05:33:00,05:33:00,720,deep
2026.09.11 05:45:00,05:45:00,720,rem
2026.09.11 05:57:00,05:57:00,2100,deep
2026.09.11 06:32:00,06:32:00,1200,light
2026.09.12 03:01:00,03:01:00,480,awake
2026.09.12 03:09:00,03:09:00,1320,light
2026.09.12 03:31:00,03:31:00,600,rem
2026.09.12 03:41:00,03:41:00,1440,light
2026.09.12 04:05:00,04:05:00,780,rem
2026.09.12 04:18:00,04:18:00,840,light
2026.09.12 04:32:00,04:32:00,720,rem
2026.09.12 04:44:00,04:44:00,1500,light
2026.09.12 05:09:00,05:09:00,720,rem
2026.09.12 05:21:00,05:21:00,900,light
2026.09.12 05:36:00,05:36:00,660,rem
2026.09.12 05:47:00,05:47:00,960,light
2026.09.12 06:03:00,06:03:00,3720,deep
2026.09.12 07:05:00,07:05:00,720,light
2026.09.12 07:17:00,07:17:00,660,deep
2026.09.12 07:28:00,07:28:00,1560,rem
2026.09.12 07:54:00,07:54:00,780,light
2026.09.12 08:07:00,08:07:00,960,rem
2026.09.12 08:23:00,08:23:00,3540,light
2026.09.12 09:22:00,09:22:00,1260,rem
2026.09.12 09:43:00,09:43:00,1440,light
2026.09.12 10:07:00,10:07:00,600,rem
2026.09.12 10:17:00,10:17:00,1080,awake
2026.09.12 10:35:00,10:35:00,1080,light
2026.09.12 10:53:00,10:53:00,300,awake
