Fecha,Hora,Duración en segundos,Etapa del sueño
2026.08.31 01:25:00,01:25:00,420,awake
2026.08.31 01:32:00,01:32:00,960,light
2026.08.31 01:48:00,01:48:00,780,deep
2026.08.31 02:01:00,02:01:00,2160,light
2026.08.31 02:37:00,02:37:00,720,rem
2026.08.31 02:49:00,02:49:00,1440,light
2026.08.31 03:13:00,03:13:00,840,rem
2026.08.31 03:27:00,03:27:00,3120,light
2026.08.31 04:19:00,04:19:00,660,rem
2026.08.31 04:30:00,04:30:00,1500,light
2026.08.31 04:55:00,04:55:00,1380,rem
2026.08.31 05:18:00,05:18:00,960,light
2026.08.31 05:34:00,05:34:00,1440,rem
2026.08.31 05:58:00,05:58:00,2100,light
2026.08.31 06:33:00,06:33:00,600,deep
2026.08.31 06:43:00,06:43:00,180,light
2026.08.31 16:44:00,16:44:00,3120,light
2026.08.31 17:38:00,17:38:00,2280,light
2026.09.01 01:06:00,01:06:00,480,awake
2026.09.01 01:14:00,01:14:00,660,light
2026.09.01 01:25:00,01:25:00,1260,deep
2026.09.01 01:46:00,01:46:00,1440,rem
2026.09.01 02:10:00,02:10:00,480,deep
2026.09.01 02:18:00,02:18:00,1680,light
2026.09.01 02:46:00,02:46:00,2640,rem
2026.09.01 03:30:00,03:30:00,180,light
2026.09.01 03:33:00,03:33:00,480,deep
2026.09.01 03:41:00,03:41:00,1020,light
2026.09.01 03:58:00,03:58:00,600,deep
2026.09.01 04:08:00,04:08:00,600,rem
2026.09.01 04:18:00,04:18:00,720,light
2026.09.01 04:30:00,04:30:00,1560,deep
2026.09.01 04:56:00,04:56:00,1260,light
2026.09.01 05:17:00,05:17:00,720,deep
2026.09.01 05:29:00,05:29:00,840,light
2026.09.01 05:43:00,05:43:00,1860,rem
2026.09.01 06:14:00,06:14:00,360,light
2026.09.01 06:20:00,06:20:00,120,awake
2026.09.01 06:22:00,06:22:00,180,light
2026.09.01 06:25:00,06:25:00,600,rem
2026.09.01 06:35:00,06:35:00,1500,light
2026.09.01 15:57:00,15:57:00,4680,light
2026.09.01 17:28:00,17:28:00,1500,light
2026.09.01 18:32:00,18:32:00,2400,light
2026.09.02 03:42:00,03:42:00,480,awake
2026.09.02 03:50:00,03:50:00,660,light
2026.09.02 04:01:00,04:01:00,1860,rem
2026.09.02 04:32:00,04:32:00,1320,light
2026.09.02 04:54:00,04:54:00,540,rem
2026.09.02 05:03:00,05:03:00,1020,light
2026.09.02 05:20:00,05:20:00,420,rem
2026.09.02 05:27:00,05:27:00,180,light
2026.09.02 05:30:00,05:30:00,600,deep
2026.09.02 05:40:00,05:40:00,600,light
2026.09.02 05:50:00,05:50:00,960,rem
2026.09.02 06:06:00,06:06:00,900,deep
2026.09.02 06:21:00,06:21:00,300,rem
2026.09.02 06:26:00,06:26:00,1440,light
2026.09.02 06:50:00,06:50:00,660,rem
2026.09.02 07:01:00,07:01:00,180,awake
2026.09.02 07:04:00,07:04:00,360,light
2026.09.02 07:10:00,07:10:00,420,rem
2026.09.02 07:17:00,07:17:00,2100,light
2026.09.02 07:52:00,07:52:00,120,awake
